Page URL,Page File,Section,Element / Location,Text Found,Source,Notes,Checked On
http://localhost:3000/,pages/index.js,"Our Associates (section title: ""Global Expertise. Local Insight. Trusted Partnerships."")","Map hotspot tooltip (3rd marker, after INDIA and UAE) - <h4> inside .associates_list_opt; component components/home/Associates.js","Saudi Arabia","CMS (widget ourassociates -> our_associates_listing_id[2].title)","Only visible-text occurrence of ""Saudi"" on this page. Also appears non-visibly in the tooltip image filename saudi-arabia684ab35abb8ab.jpg. Nothing in <head> / meta / title.",2026-08-13
http://localhost:3000/about-us,pages/about-us/index.js,"SEO / <head>","<title>, og:title, twitter:title","About Charles and Darwish Associates | Auditing & Advisory Experts in Saudi Arabia","CMS (about-us page -> browser_title / og_title)","Not visible on screen; shows in browser tab and social/search previews.",2026-08-13
http://localhost:3000/about-us,pages/about-us/index.js,"SEO / <head>","meta description, og:description, twitter:description","Get to know Charles and Darwish Associates, your trusted partner for auditing, assurance, and financial advisory services in Saudi Arabia.","CMS (about-us page -> meta_description / og_description)","Not visible on screen; shows in search results and social previews.",2026-08-13
http://localhost:3000/about-us,pages/about-us/index.js,"A Glimpse of Charles & Darwish Associates (intro)","1st paragraph of the rich-text body; component components/about/about.js (<p> from description_1)","With our deep dedication to delivering custom solutions and actionable insights, CDA has become one of the most trusted names in financial services in Saudi Arabia.","CMS (about-us page -> content.description_1)","1 occurrence. Rest of that rich-text block has no other Saudi mention.",2026-08-13
http://localhost:3000/about-us,pages/about-us/index.js,"Who We are / What We are / Our approach cards","2nd card - ""What We are"" <h4>; component components/about/who.js (obj.short_description)","An epitome of professionalism, CDA Audit is one of the most trusted accounting & audit firms in Saudi Arabia, delivering customised tax and financial advisory services in and around Saudi Arabia.","CMS (about-us listing -> short_description of ""What We are"")","2 occurrences of Saudi Arabia in the same sentence.",2026-08-13
http://localhost:3000/about-us,pages/about-us/index.js,"Our Vision","<p> under the ""Our Vision"" heading; component components/home/Mission.js (description_3)","To be the leading accounting and auditing firm in the Middle East, expanding our decade-long legacy of excellence from the UAE to Saudi Arabia and beyond, delivering innovative and reliable financial solutions that drive business growth and success.","CMS (about-us page -> content.description_3)","1 occurrence.",2026-08-13
http://localhost:3000/about-us,pages/about-us/index.js,"Our Mission","<p> under the ""Our Mission"" heading; component components/home/Mission.js (description_4)","With over a decade of experience in the UAE, our mission is to provide businesses in Saudi Arabia with reliable accounting and auditing services. We are committed to helping companies stay compliant, improve financial efficiency, and achieve lasting growth through trusted personalized solutions.","CMS (about-us page -> content.description_4)","1 occurrence.",2026-08-13

http://localhost:3000/career,pages/career/index.js,"Current Openings accordion - ""Audit Associate""","Accordion body (short_description); component components/career/list.js:154 via components/common/Accordion.js","Audit Associate- 2-5 years Audit experience in Saudi Arabia - IFRS proficient","CMS (careers listdata[0].short_description)","NOT VISIBLE ON PAGE - present in page data (__NEXT_DATA__) but never rendered. Accordion.js:45 uses dangerouslySetInnerHTML with a JSX element, so the whole accordion body prints [object Object]. Would become visible once that bug is fixed.",2026-08-13
http://localhost:3000/career,pages/career/index.js,"Current Openings accordion - ""Audit Associate""","Accordion body -> ""Job Locations:"" row (job_location); components/career/list.js:184","Saudi Arabia","CMS (careers listdata[0].job_location)","NOT VISIBLE ON PAGE - same [object Object] bug as above. Nothing in <head> / meta / title; 0 visible Saudi mentions on this page today.",2026-08-13
http://localhost:3000/consultation,pages/consultation/index.js,"Free consultation form","Phone Number field - country dropdown default; components/consultation/consform.js:119 (PhoneInput country={""sa""})","Saudi Arabia: + 966  (field pre-filled with +966, Saudi flag shown)","HARDCODED in component (not CMS)","Only Saudi reference on this page. Visible to users as the Saudi flag + ""+966"" prefix in the phone field, and as the dropdown tooltip title. Site is the India site - likely should be ""in"" / +91. Same hardcoded ""sa"" default also in components/contact/getform.js:115, components/common/Popup.js:158, components/common/PackPopup.js:158.",2026-08-13
